item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
49,9,filler,SocStat,1,high,high,match,yes,Ein Streifenpolizist*braucht*eine gute Intuition.,"Ich*befürchte,*dass*die Strecke*wegen des frühen Rennens*umgeleitet ist.",a,Filler9_socstat_unrelated_2.jpg,Filler9_socstat_unrelated_1.jpg,Filler9_socstat_related_1.jpg,Filler9_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ein Streifenpolizist braucht eine gute Intuition.
7,7,critical,WP1,3,low,low,match,yes,Quietschfidel*gelaunt*twittert*Dennis:,Ich*fahre*jetzt*mein Stahlross*durch den Kiez.,c,Gemuese-1.jpg,Gruenzeug-1.jpg,Fahrrad-1.jpg,Stahlross-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Quietschfidel gelaunt twittert Dennis:
15,15,critical,WP1,6,low,high,mismatch,no,Helle*gestrickt*tönt*Robert:,Ich*spare*jetzt*mein Essen*auf dem Konto.,f,Geld-1.jpg,Moos-1.jpg,Futter-1.jpg,Essen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Helle gestrickt tönt Robert:
101,11,filler,WP2,10,low,low,match,no,Die Babysitterin*checkte*im Laden:,Die Verkäuferin*beäugeln*das Kind.,j,Filler11_WP2_unrelated_2.jpg,Filler11_WP2_unrelated_1.jpg,Filler11_WP2_related_2.jpg,Filler11_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Babysitterin checkte im Laden:
73,45,filler,SocStat,2,high,high,match,no,Eduard*versprach*seiner*Liebsten.,"Ich*schätze,*dass*das Haus*trotz die nahe Deponie*verkauft ist.",b,Filler45_socstat_related_1.jpg,Filler45_socstat_unrelated_1.jpg,Filler45_socstat_unrelated_2.jpg,Filler45_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Eduard versprach seiner Liebsten.
82,1,filler,WP2,7,low,high,mismatch,yes,Der Türsteher*steckte*dem coolen Partygirl:,Der Trinker*diffamierte*den Taxifahrer.,g,Filler1_WP2_related_2.jpg,Filler1_WP2_unrelated_2.jpg,Filler1_WP2_unrelated_1.jpg,Filler1_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Türsteher steckte dem coolen Partygirl:
1,1,critical,WP1,3,low,low,match,yes,Sauber*zurechtgemacht*labert*Peter:,Ich*binde*gleich*meine Latschen*vor dem Zimmer.,c,Schuhe-1.jpg,Latschen-1.jpg,Klamotten-1.jpg,Kleidung-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Sauber zurechtgemacht labert Peter:
77,49,filler,SocStat,2,high,high,match,no,Erika*munkelte*über ihre Hoffnung.,"Ich*hoffe,*dass*das Wetter*trotz die kalte Prognose*angenehm ist.",b,Filler49_socstat_related_1.jpg,Filler49_socstat_unrelated_1.jpg,Filler49_socstat_unrelated_2.jpg,Filler49_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Erika munkelte über ihre Hoffnung.
33,33,critical,WP1,4,low,high,mismatch,yes,Ganz*doll wacker*wiehert*Elisabeth:,Ich*lese*später*meine Bücher*in der Bücherei.,d,Buecher-1.jpg,Waelzer-1.jpg,Brause-1.jpg,Schorle-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ganz doll wacker wiehert Elisabeth:
105,13,filler,WP2,10,low,low,match,no,Die Clique*johlte*beim Saufen:,Der Lokalbesitzer*vermöbeln*den Kellner.,j,Filler13_WP2_unrelated_1.jpg,Filler13_WP2_related_1.jpg,Filler13_WP2_related_2.jpg,Filler13_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Clique johlte beim Saufen:
51,11,filler,SocStat,1,high,high,match,yes,Elsa*verdient*als Pilotin*sehr viel Geld.,"Ich*bin*überzeugt,*dass*die Freundschaft*wegen der großen Entfernung*leiden muss.",a,Filler11_socstat_unrelated_2.jpg,Filler11_socstat_related_1.jpg,Filler11_socstat_unrelated_1.jpg,Filler11_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Elsa verdient als Pilotin sehr viel Geld.
43,3,filler,SocStat,1,high,high,match,yes,Herr Kluge*bemüht sich*sehr*als Politiker.,"Ich*nehme*an,*dass*die Absperrung*wegen der langen Konferenz*bestehen bleibt.",a,Filler3_socstat_unrelated_2.jpg,Filler3_socstat_related_1.jpg,Filler3_socstat_unrelated_1.jpg,Filler3_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Herr Kluge bemüht sich sehr als Politiker.
35,35,critical,WP1,4,low,high,mismatch,yes,Massiv*selbstständig*protzt*Vera:,Ich*schminke*später*meine Augen*vor dem Spiegel.,d,Funzel-1.jpg,Lampe-1.jpg,Augen-1.jpg,Glubscher-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Massiv selbstständig protzt Vera:
110,15,filler,WP2,10,low,low,match,no,Der Depp*sprayte*an die Mauer:,Der Soldat*verpetzen*den Wachmann.,j,Filler15_WP2_related_2.jpg,Filler15_WP2_unrelated_1.jpg,Filler15_WP2_unrelated_2.jpg,Filler15_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Depp sprayte an die Mauer:
89,5,filler,WP2,7,low,high,mismatch,yes,Der Pöbel*erzählte*überall rum:,Der Bischof*tadelte*den Herrscher.,g,Filler5_WP2_related_1.jpg,Filler5_WP2_unrelated_2.jpg,Filler5_WP2_unrelated_1.jpg,Filler5_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Pöbel erzählte überall rum:
59,19,filler,SocStat,1,high,high,match,yes,"In einer Rösterei*arbeiten,*macht*große*Freude.","Ich*finde,*dass*der Kaffee*wegen der alten Milch*merkwürdig schmeckt.",a,Filler19_socstat_unrelated_1.jpg,Filler19_socstat_related_1.jpg,Filler19_socstat_unrelated_2.jpg,Filler19_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,"In einer Rösterei arbeiten, macht große Freude."
21,21,critical,WP1,5,low,low,match,no,Fix*gerüstet*plappert*Florian:,Ich*stähle*jetzt*meinen Köter*in dem Sportzentrum.,e,Bauch-1.jpg,Wanst-1.jpg,Hund-1.jpg,Koeter-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Fix gerüstet plappert Florian:
117,19,filler,WP2,10,low,low,match,no,Die Oma*schwatzte*vor sich hin:,Der Priester*beschwafeln*den Hausarzt.,j,Filler19_WP2_unrelated_2.jpg,Filler19_WP2_related_2.jpg,Filler19_WP2_related_1.jpg,Filler19_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Oma schwatzte vor sich hin:
146,33,filler,WP2,8,low,high,mismatch,no,Die Ultras*brüllten*vor dem Späti:,Der Säufer*peinigen*den Schwindler.,h,Filler33_WP2_related_2.jpg,Filler33_WP2_unrelated_1.jpg,Filler33_WP2_unrelated_2.jpg,Filler33_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Ultras brüllten vor dem Späti:
126,23,filler,WP2,9,low,low,match,yes,Der Bouncer*gellte*ins Walkie-Talkie:,Der Geiger*boxte*den Sänger.,i,Filler23_WP2_related_1.jpg,Filler23_WP2_related_2.jpg,Filler23_WP2_unrelated_2.jpg,Filler23_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Bouncer gellte ins Walkie-Talkie:
3,3,critical,WP1,3,low,low,match,yes,Schlampig*eingestellt*labert*Felix.,Ich*saniere*bald*meine Behausung*in der City.,c,Wohnung-1.jpg,Behausung-1.jpg,Ohren-1.jpg,Lauscher-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Schlampig eingestellt labert Felix.
69,39,filler,SocStat,2,high,high,match,no,Seine Großmutter*aus München*backt*sehr gerne.,"Ich*befürchte,*dass*der Kuchen*trotz die frische Füllung*trocken ist.",b,Filler39_socstat_related_2.jpg,Filler39_socstat_unrelated_1.jpg,Filler39_socstat_related_1.jpg,Filler39_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Seine Großmutter aus München backt sehr gerne.
37,37,critical,WP1,4,low,high,mismatch,yes,Recht*zuvorkommend*plauscht*Norbert:,Ich*wasche*gleich*meine Finger*in dem Spülbecken.,d,Finger-1.jpg,Griffel-1.jpg,Pluerre-1.jpg,Getraenke-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Recht zuvorkommend plauscht Norbert:
63,29,filler,SocStat,2,high,high,match,no,Maurice*fährt*regelmäßig*zurück*nach Halle*zu seiner Familie.,"Ich*ahne,*dass*der Ausflug*wegen die späte Anmeldung*ausfallen muss.",b,Filler29_socstat_related_2.jpg,Filler29_socstat_unrelated_1.jpg,Filler29_socstat_related_1.jpg,Filler29_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Maurice fährt regelmäßig zurück nach Halle zu seiner Familie.
29,29,critical,WP1,5,low,low,match,no,Extrem großkotzig*meint*Annika:,Ich*rauche*bald*meine Kneipe*mit einem Kumpel.,e,Zigarre-1.jpg,Kippe-1.jpg,Kneipe-1.jpg,Schaenke-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Extrem großkotzig meint Annika:
65,32,filler,SocStat,2,high,high,match,no,Für die Menschen*in Schwahlheim*sind*die abendlichen Spaziergänge*am See*ein Genuss.,"Ich*weiß,*dass*das Ufer*wegen die grüne Aussicht*idyllisch wirkt.",b,Filler32_socstat_unrelated_1.jpg,Filler32_socstat_unrelated_2.jpg,Filler32_socstat_related_1.jpg,Filler32_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Für die Menschen in Schwahlheim sind die abendlichen Spaziergänge am See ein Genuss.
39,39,critical,WP1,4,low,high,mismatch,yes,Lässig chillend*quasselt*Sabine:,Ich*betreibe*jetzt*meine Pension*in der Region.,d,Pension-1.jpg,Absteige-1.jpg,Hausschuhe-1.jpg,Schlappen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Lässig chillend quasselt Sabine:
55,15,filler,SocStat,1,high,high,match,yes,Charlotte*schreibt*freiberuflich*für ein Satiremagazin.,"Ich*ahne,*dass*die Stimmung*wegen der fiesen Beleidigung*schlecht ist.",a,Filler15_socstat_unrelated_2.jpg,Filler15_socstat_related_1.jpg,Filler15_socstat_related_2.jpg,Filler15_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Charlotte schreibt freiberuflich für ein Satiremagazin.
27,27,critical,WP1,5,low,low,match,no,Enorm geschickt*schnattert*Susanna:,Ich*schneidere*jetzt*meine Fiedel*bei der Näherin.,e,Kleider-1.jpg,Fummel-1.jpg,Geige-1.jpg,Fiedel-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Enorm geschickt schnattert Susanna:
47,7,filler,SocStat,1,high,high,match,yes,Die Feuerwehrfrau*löscht*die Brände.,"Ich*meine,*dass*die Unruhe*wegen der wüsten Proteste*nachvollziehbar ist.",a,Filler7_socstat_related_2.jpg,Filler7_socstat_related_1.jpg,Filler7_socstat_unrelated_2.jpg,Filler7_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Feuerwehrfrau löscht die Brände.
17,17,critical,WP1,6,low,high,mismatch,no,Pingelig getrimmt*schwafelt*Tobias:,Ich*putze*gleich*mein Tier*mit dem Putzmittel.,f,WC-1.jpg,Klo-1.jpg,Tier-1.jpg,Vieh-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Pingelig getrimmt schwafelt Tobias:
45,5,filler,SocStat,1,high,high,match,yes,Jans Eltern*verlangen*als Professoren*viel*von ihrem Sohn*ab.,"Ich*denke,*dass*die*Studie*wegen*des*groben*Versehens*abgesagt ist.",a,Filler5_socstat_related_2.jpg,Filler5_socstat_unrelated_2.jpg,Filler5_socstat_unrelated_1.jpg,Filler5_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Jans Eltern verlangen als Professoren viel von ihrem Sohn ab.
25,25,critical,WP1,5,low,low,match,no,Mordsmäßig*betucht*brabbelt*Heike:,Ich*pediküre*bald*meine Bude*bei der Kosmetikerin.,e,Fuesse-1.jpg,Mauken-1.jpg,Residenz-1.jpg,Bude-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Mordsmäßig betucht brabbelt Heike:
71,41,filler,SocStat,2,high,high,match,no,Sein Enkel*macht*in seiner Heimatstadt Wittenberg*Abitur.,"Ich*bin*sicher,*dass*die Note*trotz die knappe Vorbereitung*erfreulich ist.",b,Filler41_socstat_related_1.jpg,Filler41_socstat_unrelated_1.jpg,Filler41_socstat_unrelated_2.jpg,Filler41_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Sein Enkel macht in seiner Heimatstadt Wittenberg Abitur.
11,11,critical,WP1,6,low,high,mismatch,no,Patent trainiert*verklickert*Daniel:,Ich*bügel*gleich*meine Pferde*auf dem Bügelbrett.,f,Hosen-1.jpg,Buxen-1.jpg,Pferde-1.jpg,Gaule-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Patent trainiert verklickert Daniel:
41,1,filler,SocStat,1,high,high,match,yes,Tante Inga*schuftet*schwer*in der Imbissbude.,"Ich*merke,*dass*die Gegend*wegen des bunten Festes*abgesperrt ist.",a,Filler1_socstat_related_1.jpg,Filler1_socstat_unrelated_2.jpg,Filler1_socstat_related_2.jpg,Filler1_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Tante Inga schuftet schwer in der Imbissbude.
130,25,filler,WP2,9,low,low,match,yes,Der Spitzel*schmierte*auf das Post-it:,Der Trainer*beglotzte*den Ringkämpfer.,i,Filler25_WP2_unrelated_1.jpg,Filler25_WP2_related_1.jpg,Filler25_WP2_unrelated_2.jpg,Filler25_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Spitzel schmierte auf das Post-it:
61,24,filler,SocStat,2,high,high,match,no,Max aus Bremen*ist*ein richtiger Bücherwurm.,"Ich*behaupte,*dass*das Lesen*wegen die neue Brille*leichter fällt.",b,Filler24_socstat_related_1.jpg,Filler24_socstat_unrelated_2.jpg,Filler24_socstat_related_2.jpg,Filler24_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Max aus Bremen ist ein richtiger Bücherwurm.
12,12,critical,WP1,6,high,low,mismatch,no,Dienlich*geschult*kommentiert*Daniel:,Ich*striegel*gleich*meine Buxen*vor dem Manege.,f,Pferde-1.jpg,Gaule-1.jpg,Hosen-1.jpg,Buxen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Dienlich geschult kommentiert Daniel:
42,2,filler,SocStat,1,high,high,match,yes,Jürgen*spricht*gerne*über seine Tätigkeit*auf dem Bau.,"Ich*weiß,*dass*der Aufenthalt*wegen der schlechten Lage*preiswert*ist.",a,Filler2_socstat_unrelated_2.jpg,Filler2_socstat_related_2.jpg,Filler2_socstat_related_1.jpg,Filler2_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Jürgen spricht gerne über seine Tätigkeit auf dem Bau.
111,16,filler,WP2,10,high,low,mismatch,no,Der Vorstand*verbuchte*im Protokoll:,Der Radfahrer*bepöbeln*den Autofahrer.,j,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Vorstand verbuchte im Protokoll:
28,28,critical,WP1,5,high,high,match,no,Meisterlich*begabt*stimuliert*Susanna:,Ich*besaite*später*meine Kleider*in einem Musikgeschäft.,e,Geige-1.jpg,Fiedel-1.jpg,Kleider-1.jpg,Fummel-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Meisterlich begabt stimuliert Susanna:
160,40,filler,WP2,8,high,high,match,no,Die Richter*urteilten*souverän:,Der Barkeeper*rügen*den Weinkenner.,h,Filler40_WP2_related_2.jpg,Filler40_WP2_unrelated_2.jpg,Filler40_WP2_unrelated_1.jpg,Filler40_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Richter urteilten souverän:
132,26,filler,WP2,9,high,low,mismatch,yes,Die Empfangsdame*verkündigte*der vornehmen Gesellschaft:,Der Rocksänger*belaberte*den Schlagzeuger.,i,Filler26_WP2_related_1.jpg,Filler26_WP2_unrelated_2.jpg,Filler26_WP2_related_2.jpg,Filler26_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Empfangsdame verkündigte der vornehmen Gesellschaft:
14,14,critical,WP1,6,high,low,mismatch,no,Außerordentlich*präpariert*formuliert*Maria:,Ich*lackiere*später*meine Schnitten*bei dem Kosmetiksalon.,f,Fingernaegel-1.jpg,Klauen-1.jpg,Butterbrote-1.jpg,Schnitten-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Außerordentlich präpariert formuliert Maria:
156,38,filler,WP2,8,high,high,match,no,Die Polizeidirektorin*avisierte*die Rivalität:,Der Polizist*inhaftieren*die Aktivistin.,h,Filler38_WP2_unrelated_2.jpg,Filler38_WP2_unrelated_1.jpg,Filler38_WP2_related_2.jpg,Filler38_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Polizeidirektorin avisierte die Rivalität:
80,52,filler,SocStat,2,high,high,match,no,Intern*wurden*die Informationen*weitergeleitet.,"Ich*hoffe,*dass*die Führung*trotz das üble Unglück*stattfinden kann.",b,Filler52_socstat_related_1.jpg,Filler52_socstat_unrelated_1.jpg,Filler52_socstat_unrelated_2.jpg,Filler52_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Intern wurden die Informationen weitergeleitet.
