trial,item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
71,34,34,critical,WP1,5,high,high,match,no,Unermesslich*wohlerzogen*frohlockt*Elisabeth:,Ich*trinke*sp&auml;ter*meine*B&Uuml;cher*in*dem*Lokal.,e,Buecher-1.jpg,Schorle-1.jpg,Brause-1.jpg,Waelzer-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Unermesslich wohlerzogen frohlockt Elisabeth:
72,106,26,filler,WP2,8,high,high,match,no,Der*Hotelier*verk&Uuml;ndigte*der*vornehmen*Gesellschaft:,Der*Rocks&auml;nger*beredete*den*Schlagzeuger.,h,Filler26_WP2_related_2.jpg,Filler33_WP2_related_1.jpg,Filler33_WP2_unrelated_2.jpg,Filler33_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Hotelier verk&Uuml;ndigte der vornehmen Gesellschaft:
73,104,24,filler,WP2,7,high,high,match,yes,Die*Hausherren*priesen*die*Novit&auml;t:,Der*G&auml;rtner*bet&ouml;ren*den*Pf&ouml;rtner.,g,Filler24_WP2_unrelated_2.jpg,Filler24_WP2_unrelated_1.jpg,Filler24_WP2_related_2.jpg,Filler24_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Hausherren priesen die Novit&auml;t:
74,115,35,filler,WP2,9,high,low,mismatch,yes,Die*Aufsichtsbeh&ouml;rde*postulierte*die*glorreiche*Erkenntnis:,Der*Radprofi*marterte*den*Rennfahrer.,i,Filler35_WP2_related_1.jpg,Filler35_WP2_unrelated_2.jpg,Filler35_WP2_related_2.jpg,Filler35_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Aufsichtsbeh&ouml;rde postulierte die glorreiche Erkenntnis:
75,25,25,critical,WP1,3,high,high,match,yes,Unerh&ouml;rt*wohlhabend*&auml;u&szlig;ert*Heike:,Ich*pedik&Uuml;re*bald*meine*F&Uuml;&szlig;e*bei*der*Nageltechnikerin.,c,Fuesse-1.jpg,Mauken-1.jpg,Residenz-1.jpg,Bude-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Unerh&ouml;rt wohlhabend &auml;u&szlig;ert Heike:
76,109,29,filler,WP2,8,high,high,match,no,Die*Tratschtante*petzte*bei*der*Nachbarin:,Der*Nachtportier*zwicken*den*Landstreicher.,h,Filler29_WP2_unrelated_1.jpg,Filler29_WP2_related_1.jpg,Filler29_WP2_related_2.jpg,Filler29_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Tratschtante petzte bei der Nachbarin:
77,103,23,filler,WP2,7,high,high,match,yes,Der*Dirigent*raunte*w&auml;hrend*der*Darbietung:,Der*Geiger*knuffte*den*S&auml;nger.,g,Filler23_WP2_unrelated_1.jpg,Filler23_WP2_unrelated_2.jpg,Filler23_WP2_related_1.jpg,Filler23_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Dirigent raunte w&auml;hrend der Darbietung:
78,36,36,critical,WP1,6,high,low,mismatch,no,Effizient*autonom*deklariert*Vera:,Ich*montiere*sp&auml;ter*meine*Glubscher*an*die*Zimmerdecke.,f,Augen-1.jpg,Lampe-1.jpg,Funzel-1.jpg,Glubscher-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Effizient autonom deklariert Vera:
79,52,12,filler,SocStat,1,high,high,match,yes,Marc*muss*als*Berufsmusiker*stets*flexibel*sein.,"Ich*bin*&Uuml;berzeugt*dass,*die*Veranstaltung*wegen*der*lauten*St&ouml;rung*l&auml;nger*dauert.",a,Filler12_socstat_unrelated_2.jpg,Filler12_socstat_related_2.jpg,Filler12_socstat_unrelated_1.jpg,Filler12_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Marc muss als Berufsmusiker stets flexibel sein.
80,57,17,filler,SocStat,1,high,high,match,yes,Meine*Kollegin*schimpft*st&auml;ndig*&Uuml;ber*den*Erzieherberuf.,"Ich*vermute*dass,*die*Aktion*wegen*der*vollen*Kita*zugelassen*ist.",a,Filler17_socstat_related_2.jpg,Filler17_socstat_related_1.jpg,Filler17_socstat_unrelated_2.jpg,Filler17_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Meine Kollegin schimpft st&auml;ndig &Uuml;ber den Erzieherberuf.
81,37,37,critical,WP1,6,high,low,mismatch,no,Achtsam*wohlmeinend*verbalisiert*Norbert:,Ich*wasche*gleich*meine*Pl&Uuml;rre*in*dem*Waschbecken.,f,Getraenke-1.jpg,Finger-1.jpg,Griffel-1.jpg,Pluerre-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Achtsam wohlmeinend verbalisiert Norbert:
82,116,36,filler,WP2,10,high,low,mismatch,no,Die*Geheimdienste*offenbarten*in*der*Schriftrolle:,Der*Edelmann*betrog*den*Hofmaler.,j,Filler36_WP2_related_2.jpg,Filler36_WP2_related_1.jpg,Filler36_WP2_unrelated_2jpg,Filler36_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Geheimdienste offenbarten in der Schriftrolle:
83,32,32,critical,WP1,5,high,high,match,no,Grandios*geschult*prophezeit*Klaus:,Ich*verschreibe*bald*meine*Pistole*auf*einem*Zettel.,e,Knarre-1.jpg,Pillen-1.jpg,Arznei-1.jpg,Pistole-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Grandios geschult prophezeit Klaus:
84,23,23,critical,WP1,3,high,high,match,yes,Beflissen*arbeitend*k&Uuml;ndet*Lars:,Ich*k&auml;mme*gleich*meine*Haare*bei*dem*Coiffeur.,c,Pulle-1.jpg,Haare-1.jpg,Maehne-1.jpg,Flasche-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Beflissen arbeitend k&Uuml;ndet Lars:
85,69,39,filler,SocStat,2,high,high,match,no,Seine*Gro&szlig;mutter*aus*M&Uuml;nchen*backt*sehr*gerne.,"Ich*bef&Uuml;rchte*dass,*der*Kuchen*trotz*die*frische*F&Uuml;llung*trocken*ist.",b,Filler39_socstat_related_2.jpg,Filler39_socstat_unrelated_2.jpg,Filler39_socstat_related_1.jpg,Filler39_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Seine Gro&szlig;mutter aus M&Uuml;nchen backt sehr gerne.
86,120,40,filler,WP2,10,high,low,mismatch,no,Die*Buddies*knirschten*angefressen:,Der*Barkeeper*r&Uuml;gte*den*Weinkenner.,j,Filler40_WP2_related_1.jpg,Filler40_WP2_unrelated_2.jpg,Filler40_WP2_unrelated_1.jpg,Filler40_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Buddies knirschten angefressen:
87,63,29,filler,SocStat,2,high,high,match,no,Maurice*f&auml;hrt*regelm&auml;&szlig;ig*zur&Uuml;ck*nach*Halle*zu*seiner*Familie.,"Ich*ahne*dass,*der*Ausflug*wegen*die*sp&auml;te*Anmeldung*ausfallen*muss.",b,Filler29_socstat_unrelated_2.jpg,Filler29_socstat_related_2.jpg,Filler29_socstat_unrelated_1.jpg,Filler29_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Maurice f&auml;hrt regelm&auml;&szlig;ig zur&Uuml;ck nach Halle zu seiner Familie.
88,13,13,critical,WP1,6,low,high,mismatch,no,Astrein*hergerichtet*plappert*Maria:,Ich*schmiere*sp&auml;ter*meine*Fingern&auml;gel*in*der*Kochnische.,f,Fingernaegel-1.jpg,Schnitten-1.jpg,Klauen-1.jpg,Butterbrote-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Astrein hergerichtet plappert Maria:
89,61,24,filler,SocStat,2,high,high,match,no,Max*aus*Bremen*ist*ein*richtiger*B&Uuml;cherwurm.,"Ich*behaupte*dass,*das*Lesen*wegen*die*neue*Brille*leichter*f&auml;llt.",b,Filler24_socstat_unrelated_1.jpg,Filler24_socstat_unrelated_2.jpg,Filler24_socstat_related_2.jpg,Filler24_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Max aus Bremen ist ein richtiger B&Uuml;cherwurm.
90,27,27,critical,WP1,4,high,low,mismatch,yes,Meisterlich*begabt*stimuliert*Susanna:,Ich*schneidere*jetzt*meine*Fummel*bei*der*Schneiderin.,d,Kleider-1.jpg,Geige-1.jpg,Fiedel-1.jpg,Fummel-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Meisterlich begabt stimuliert Susanna:
