trial,item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
43,95,15,filler,WP2,9,low,low,match,yes,Der*Offizier*verzeichnete*im*Register:,Der*Staatsdiener*verleumdete*den*Werksleiter.,i,Filler15_WP2_related_1.jpg,Filler15_WP2_unrelated_2.jpg,Filler15_WP2_related_2.jpg,Filler15_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Offizier verzeichnete im Register:
44,87,7,filler,WP2,8,low,high,mismatch,no,Der*St&&Uuml;uml;mper*pl&auml;rrte*in*der*Spielh&ouml;lle:,Der*Bandenchef*verschaukeln*den*Raubm&ouml;rder.,h,Filler7_WP2_related_1.jpg,Filler7_WP2_related_2.jpg,Filler7_WP2_unrelated_1.jpg,Filler7_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der St&&Uuml;uml;mper pl&auml;rrte in der Spielh&ouml;lle:
45,75,47,filler,SocStat,2,high,high,match,no,Die*Kleine*steckte*ihm*fix*die*Neuigkeit.,"Ich*behaupte*dass,*der*Wettkampf*trotz*die*k&&Uuml;uml;hle*Witterung*wieder*stattfindet.",b,Filler47_socstat_unrelated_2.jpg,Filler47_socstat_related_2.jpg,Filler47_socstat_unrelated_1.jpg,Filler47_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Kleine steckte ihm fix die Neuigkeit.
46,16,16,critical,WP1,5,low,low,match,no,Helle*gestrickt*t&ouml;nt*Robert:,Ich*koche*jetzt*mein*Moos*auf*dem*Herd.,e,Moos-1.jpg,Futter-1.jpg,Geld-1.jpg,Essen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Helle gestrickt t&ouml;nt Robert:
47,81,1,filler,WP2,7,low,high,mismatch,yes,Der*Rausschmei&szlig;er*blaffte*zum*Jungen:,Der*Trinker*diffamierte*den*R&&Uuml;uml;pel.,g,Filler1_WP2_unrelated_1.jpg,Filler1_WP2_related_1.jpg,Filler1_WP2_related_2.jpg,Filler1_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Rausschmei&szlig;er blaffte zum Jungen:
48,88,8,filler,WP2,8,low,high,mismatch,no,Die*Memme*beheulte*ihren*Struggle:,Der*Sporttaucher*fobbte*den*Brustschwimmer.,h,Filler8_WP2_related_1.jpg,Filler8_WP2_unrelated_2.jpg,Filler8_WP2_related_2.jpg,Filler8_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Memme beheulte ihren Struggle:
49,83,3,filler,WP2,7,low,high,mismatch,yes,Der*Schuldirektor*begr&&Uuml;uml;ndete*in*dem*Verweis:,Der*Sportlehrer*triezte*den*Wettl&auml;ufer.,g,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_unrelated_1.jpg,Filler3_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Schuldirektor begr&&Uuml;uml;ndete in dem Verweis:
50,19,19,critical,WP1,5,low,low,match,no,Aktiv*mit*dabei*protzt*Lukas:,Ich*unterschreibe*jetzt*meinen*Schampus*Antrag*in*dem*Office.,e,Antrag-1.jpg,Schampus-1.jpg,Wisch-1.jpg,Champagner-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Aktiv mit dabei protzt Lukas:
51,85,5,filler,WP2,7,low,high,mismatch,yes,Der*Delegierte*&&Uuml;uml;bersandte*die*amtliche*Botschaft:,Der*Bischof*tadelte*den*Herrscher.,g,Filler5_WP2_unrelated_1.jpg,Filler5_WP2_unrelated_2.jpg,Filler5_WP2_related_1.jpg,Filler5_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Delegierte &&Uuml;uml;bersandte die amtliche Botschaft:
52,46,6,filler,SocStat,1,high,high,match,yes,Zu*sp&auml;t*kommen*als*Arzt*wird*nicht*gern*gesehen.,"Ich*denke*dass,*der*Stau*wegen*der*engen*Baustelle*unendlich*ist.",a,Filler6_socstat_related_2.jpg,Filler6_socstat_related_1.jpg,Filler6_socstat_unrelated_1.jpg,Filler6_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Zu sp&auml;t kommen als Arzt wird nicht gern gesehen.
53,72,43,filler,SocStat,2,high,high,match,no,Der*Elternbeirat*aus*Wiesbaden*trifft*sich*w&ouml;chentlich*.,"Ich*denke*dass,*das*Treffen*trotz*die*ernste*Diskussion*p&&Uuml;uml;nktlich*endet.",b,Filler43_socstat_related_1.jpg,Filler43_socstat_unrelated_2.jpg,Filler43_socstat_related_2.jpg,Filler,Welches Bild passt am besten zu dem vorherigen Satz?,Der Elternbeirat aus Wiesbaden trifft sich w&ouml;chentlich .
54,33,33,critical,WP1,5,high,high,match,no,Unermesslich*wohlerzogen*frohlockt*Elisabeth:,Ich*lese*sp&auml;ter*meine*Schorle*in*der*Bibliothek.,e,Brause-1.jpg,Schorle-1.jpg,Waelzer-1.jpg,Buecher-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Unermesslich wohlerzogen frohlockt Elisabeth:
55,90,10,filler,WP2,8,low,high,mismatch,no,Der*Nichtsnutz*kr&auml;chzte*lauthals:,Der*Wagenlenker*herzte*den*Autoschlosser.,h,Filler10_WP2_related_1.jpg,Filler10_WP2_related_2.jpg,Filler10_WP2_unrelated_1.jpg,Filler10_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Nichtsnutz kr&auml;chzte lauthals:
56,82,2,filler,WP2,7,low,high,mismatch,yes,Der*Gef&auml;ngnisvorstand*bezeugte*in*der*Anh&ouml;rung:,Der*Skinhead*vertrimmen*den*Str&auml;fling.,g,Filler2_WP2_unrelated_1.jpg,Filler2_WP2_unrelated_2.jpg,Filler2_WP2_related_1.jpg,Filler2_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Gef&auml;ngnisvorstand bezeugte in der Anh&ouml;rung:
57,71,41,filler,SocStat,2,high,high,match,no,Sein*Enkel*macht*in*seiner*Heimatstadt*Wittenberg*Abitur.,"Ich*bin*sicher*dass,*die*Note*trotz*die*knappe*Vorbereitung*erfreulich*ist.",b,Filler41_socstat_unrelated_2.jpg,Filler41_socstat_related_2.jpg,Filler41_socstat_unrelated_1.jpg,Filler41_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Sein Enkel macht in seiner Heimatstadt Wittenberg Abitur.
58,17,17,critical,WP1,5,low,low,match,no,Pingelig*getrimmt*schwafelt*Tobias:,Ich*putze*gleich*mein*Vieh*mit*dem*Putzzeug.,e,Vieh-1.jpg,WC-1.jpg,Tier-1.jpg,Klo-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Pingelig getrimmt schwafelt Tobias:
59,43,3,filler,SocStat,1,high,high,match,yes,Herr*Kluge*bem&&Uuml;uml;ht*sich*sehr*als*Politiker.,"Ich*nehme*an*dass,*die*Absperrung*wegen*der*langen*Konferenz*bestehen*bleibt.",a,Filler3_socstat_related_2.jpg,Filler3_socstat_unrelated_2.jpg,Filler3_socstat_related_1.jpg,Filler3_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Herr Kluge bem&&Uuml;uml;ht sich sehr als Politiker.
60,84,4,filler,WP2,7,low,high,mismatch,yes,Der*Kulturminister*artikulierte*im*Jahresbericht:,Der*F&ouml;rderer*kosen*den*Bildhauer.,g,Filler4_WP2_unrelated_2.jpg,Filler4_WP2_related_1.jpg,Filler4_WP2_unrelated_1.jpg,Filler4_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Kulturminister artikulierte im Jahresbericht:
