item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
10,10,critical,WP1,3,low,low,match,yes,Massig*betucht*schwafelt*Paula:,Ich*rasiere*bald*meine*Stelzen*in*der*Dusche.,c,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Massig*betucht*schwafelt*Paula:
86,6,filler,WP2,8,low,high,mismatch,no,Der*B&uuml;rgermeister*proklamierte*im*Amtsblatt:,Der*Sheriff*&uuml;berlistete*den*Gauner.,h,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*B&uuml;rgermeister*proklamierte*im*Amtsblatt:
48,8,filler,SocStat,1,high,high,match,yes,Anna*arbeitet*mehr*als*5*Jahre*in*dem*Gesch&auml;ft.,Ich*meine*dass*das*Essen*wegen*des*scharfen*Gew&uuml;rzes*unvertr&auml;glich*ist.,a,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Anna*arbeitet*mehr*als*5*Jahre*in*dem*Gesch&auml;ft.
82,2,filler,WP2,7,low,high,mismatch,yes,Der*Gef&auml;ngnisvorstand*bezeugte*in*der*Anh&ouml;rung:,Der*Skinhead*vertrimmen*den*Str&auml;fling.,g,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Gef&auml;ngnisvorstand*bezeugte*in*der*Anh&ouml;rung:
9,9,critical,WP1,3,low,low,match,yes,Massig*betucht*schwafelt*Paula:,Ich*verschrotte*bald*meine*Karren*neben*der*M&uuml;llkippe.,c,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Massig*betucht*schwafelt*Paula:
74,46,filler,SocStat,2,high,high,match,no,Tim*mauschelte*uns*seine*Ideen*zu.,Ich*vermute*dass*die*Zeit*trotz*die*schrille*Musik*entspannend*ist.,b,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Tim*mauschelte*uns*seine*Ideen*zu.
77,49,filler,SocStat,2,high,high,match,no,Erika*munkelte*&uuml;ber*Ihre*Hoffnung.,Ich*hoffe*dass*das*Wetter*trotz*die*kalte*Prognose*angenehm*ist.,b,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Erika*munkelte*&uuml;ber*Ihre*Hoffnung.
89,9,filler,WP2,8,low,high,mismatch,no,Der*Lausbub*patzte*ins*Tagebuch:,Der*Reiseleiter*ersp&auml;hen*den*Abenteurer.,h,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Lausbub*patzte*ins*Tagebuch:
6,6,critical,WP1,3,low,low,match,yes,Stark*unter*Dampf*tr&ouml;tet*Moritz:,Ich*t&ouml;pfere*sp&auml;ter*meine*P&ouml;tte*in*dem*Studio.,c,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Stark*unter*Dampf*tr&ouml;tet*Moritz:
80,52,filler,SocStat,2,high,high,match,no,Intern*wurden*die*Informationen*weitergeleitet.,Ich*hoffe*dass*die*F&uuml;hrung*trotz*das*&uuml;ble*Ungl&uuml;ck*stattfinden*kann.,b,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Intern*wurden*die*Informationen*weitergeleitet.
81,1,filler,WP2,7,low,high,mismatch,yes,Der*Rausschmei&szlig;er*blaffte*zum*Jungen:,Der*Trinker*diffamierte*den*R&uuml;pel.,g,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Rausschmei&szlig;er*blaffte*zum*Jungen:
20,20,critical,WP1,5,low,low,match,no,Aktiv*mit*dabei*protzt*Lukas:,Ich*serviere*jetzt*meinen*Wisch*auf*dem*Terrasse.,e,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Aktiv*mit*dabei*protzt*Lukas:
49,9,filler,SocStat,1,high,high,match,yes,Ein*Streifenpolizist*braucht*eine*gute*Intuition.,Ich*bef&uuml;rchte*dass*die*Strecke*wegen*des*fr&uuml;hen*Rennens*umgeleitet*ist.,a,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ein*Streifenpolizist*braucht*eine*gute*Intuition.
47,7,filler,SocStat,1,high,high,match,yes,Die*Feuerwehrfrau*l&ouml;scht*die*Br&auml;nde.,Ich*meine*dass*die*Unruhe*wegen*der*w&uuml;sten*Proteste*nachvollziehbar*ist.,a,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die*Feuerwehrfrau*l&ouml;scht*die*Br&auml;nde.
4,4,critical,WP1,4,low,high,mismatch,yes,Schlampig*eingestellt*labert*Felix.,Ich*pierce*bald*meine*Ohren*in*dem*Shoppingcenter.,d,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Schlampig*eingestellt*labert*Felix.
99,19,filler,WP2,10,low,low,match,no,Der*Schw&auml;tzer*palaverte*ohne*Ende:,Der*Priester*indoktrinieren*den*Hausarzt.,j,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Schw&auml;tzer*palaverte*ohne*Ende:
93,13,filler,WP2,9,low,low,match,yes,Der*Gentleman*observierte*beim*Eintreten:,Der*Kneipenwirt*verm&ouml;belte*den*Meisterkoch.,i,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Gentleman*observierte*beim*Eintreten:
79,51,filler,SocStat,2,high,high,match,no,Der*Chef*lehnte*sich*mit*der*Vermutung*aus*dem*Fenster,Ich*nehme*an*dass*der*Umsatz*trotz*die*miese*Wirtschaftslage*schnell*steigt.,b,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Chef*lehnte*sich*mit*der*Vermutung*aus*dem*Fenster
26,26,critical,WP1,4,high,low,mismatch,yes,Unerh&ouml;rt*wohlhabend*&auml;u&szlig;ert*Heike:,Ich*verkaufe*bald*meine*Bude*bei*der*Versteigerung.,d,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Unerh&ouml;rt*wohlhabend*&auml;u&szlig;ert*Heike:
105,25,filler,WP2,7,high,high,match,yes,Der*Publizist*korrespondierte*&uuml;ber*das*Essay:,Der*Kunstreiter*inspizierte*den*Ringk&auml;mpfer.,g,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Publizist*korrespondierte*&uuml;ber*das*Essay:
53,13,filler,SocStat,1,high,high,match,yes,Trotz*Technologiesierung*arbeiten*viele*aus*meiner*Familie*in*Fabriken,Ich*sch&auml;tze*dass*die*Lieferung*wegen*der*heftigen*St&uuml;rme*versp&auml;tet*ist.,a,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Trotz*Technologiesierung*arbeiten*viele*aus*meiner*Familie*in*Fabriken
108,28,filler,WP2,8,high,high,match,no,Die*Alten*verklickerten*dem*Knirps:,Der*Bruder*beschwindelte*den*Vetter.*,h,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die*Alten*verklickerten*dem*Knirps:
38,38,critical,WP1,6,high,low,mismatch,no,Achtsam*wohlmeinend*verbalisiert*Norbert:,Ich*versch&uuml;tte*gleich*meine*Griffel*auf*das*Tafeltuch.,f,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Achtsam*wohlmeinend*verbalisiert*Norbert:
