trial,item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
9,6,6,critical,WP1,3,low,low,match,yes,Stark*unter*Dampf*tr&ouml;tet*Moritz:,Ich*t&ouml;pfere*sp&auml;ter*meine*P&ouml;tte*in*dem*Studio.,c,Tassen-1.jpg,Kammern-1.jpg,Poette-1.jpg,Gemaecher-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Stark unter Dampf tr&ouml;tet Moritz:
10,74,46,filler,SocStat,2,high,high,match,no,Tim*mauschelte*uns*seine*Ideen*zu.,"Ich*vermute*dass,*die*Zeit*trotz*die*schrille*Musik*entspannend*ist.",b,Filler46_socstat_related_1.jpg,Filler46_socstat_unrelated_1.jpg,Filler46_socstat_related_2.jpg,Filler46_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Tim mauschelte uns seine Ideen zu.
11,49,9,filler,SocStat,1,high,high,match,yes,Ein*Streifenpolizist*braucht*eine*gute*Intuition.,"Ich*bef&uuml;rchte*dass,*die*Strecke*wegen*des*fr&uuml;hen*Rennens*umgeleitet*ist.",a,Filler9_socstat_related_1.jpg,Filler9_socstat_related_2.jpg,Filler9_socstat_unrelated_1.jpg,Filler9_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ein Streifenpolizist braucht eine gute Intuition.
12,14,14,critical,WP1,6,low,high,mismatch,no,Astrein*hergerichtet*plappert*Maria:,Ich*lackiere*sp&auml;ter*meine*Butterbrote*bei*dem*Nagelstudio.,f,Butterbrote-1.jpg,Fingernaegel-1.jpg,Schnitten-1.jpg,Klauen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Astrein hergerichtet plappert Maria:
13,94,14,filler,WP2,9,low,low,match,yes,Der*Hochwohlgeborene*verbreitete*anmutig:,Der*Bauer*proben*den*Helfer.,i,Filler14_WP2_unrelated_1.jpg,Filler14_WP2_related_1.jpg,Filler14_WP2_related_2.jpg,Filler14_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Hochwohlgeborene verbreitete anmutig:
14,76,48,filler,SocStat,2,high,high,match,no,Der*Patient*versicherte*dem*Doktor.,"Ich*vermute*dass,*der*Zahn*trotz*die*sanfte*Behandlung*oft*schmerzt.*",b,Filler48_socstat_related_1.jpg,Filler48_socstat_related_2.jpg,Filler48_socstat_unrelated_1.jpg,Filler48_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Patient versicherte dem Doktor.
15,80,52,filler,SocStat,2,high,high,match,no,Intern*wurden*die*Informationen*weitergeleitet.,"Ich*hoffe*dass,*die*F&uuml;hrung*trotz*das*&uuml;ble*Ungl&uuml;ck*stattfinden*kann.",b,Filler52_socstat_unrelated_1.jpg,Filler52_socstat_unrelated_2.jpg,Filler52_socstat_related_1.jpg,Filler52_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Intern wurden die Informationen weitergeleitet.
16,12,12,critical,WP1,6,low,high,mismatch,no,Patent*trainiert*verklickert*Daniel:,Ich*striegel*gleich*meine*Hosen*vor*dem*Stall.,f,Buxen-1.jpg,Gaule-1.jpg,Pferde-1.jpg,Hosen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Patent trainiert verklickert Daniel:
17,93,13,filler,WP2,9,low,low,match,yes,Der*Gentleman*observierte*beim*Eintreten:,Der*Kneipenwirt*verm&ouml;belte*den*Meisterkoch.,i,Filler13_WP2_unrelated_2.jpg,Filler13_WP2_unrelated_2.jpg,Filler13_WP2_related_2.jpg,Filler13_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Gentleman observierte beim Eintreten:
18,100,20,filler,WP2,10,low,low,match,no,Der*P&ouml;bel*gr&ouml;lte*in*den*Gassen:,Der*Kaiser*verw&ouml;hnte*den*Herzog.,j,Filler20_WP2_unrelated_1.jpg,Filler20_WP2_related_1.jpg,Filler20_WP2_related_2.jpg,Filler20_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der P&ouml;bel gr&ouml;lte in den Gassen:
19,48,8,filler,SocStat,1,high,high,match,yes,Anna*arbeitet*mehr*als*5*Jahre*in*dem*Gesch&auml;ft.,"Ich*meine*dass,*das*Essen*wegen*des*scharfen*Gew&uuml;rzes*unvertr&auml;glich*ist.",a,Filler8_socstat_related_1.jpg,Filler8_socstat_unrelated_1.jpg,Filler8_socstat_unrelated_2.jpg,Filler8_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Anna arbeitet mehr als 5 Jahre in dem Gesch&auml;ft.
20,3,3,critical,WP1,4,low,high,mismatch,yes,Schlampig*eingestellt*labert*Felix.,Ich*saniere*bald*meine*Wohnung*in*der*City.,d,Lauscher-1.jpg,Wohnung-1.jpg,Ohren-1.jpg,Behausung-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Schlampig eingestellt labert Felix.
21,92,12,filler,WP2,9,low,low,match,yes,Die*Gelehrte*bedauerte*in*ihrer*Weisheit:,Der*Obdachlose*verp&ouml;nen*den*Bastard.,i,Filler12_WP2_unrelated_2.jpg,Filler12_WP2_unrelated_2.jpg,Filler12_WP2_related_2.jpg,Filler12_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Gelehrte bedauerte in ihrer Weisheit:
22,98,18,filler,WP2,10,low,low,match,no,Der*L&uuml;mmel*krakeelte*bei*seiner*Mutter:*,Der*Ausbilder*sponserte*den*Springreiter.,j,Filler18_WP2_related_2.jpg,Filler18_WP2_unrelated_1.jpg,Filler18_WP2_unrelated_2.jpg,Filler18_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der L&uuml;mmel krakeelte bei seiner Mutter: 
23,4,4,critical,WP1,4,low,high,mismatch,yes,Schlampig*eingestellt*labert*Felix.,Ich*pierce*bald*meine*Ohren*in*dem*Shoppingcenter.,d,Behausung-1.jpg,Ohren-1.jpg,Lauscher-1.jpg,Wohnung-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Schlampig eingestellt labert Felix.
24,73,45,filler,SocStat,2,high,high,match,no,Eduard*versprach*seiner*Liebsten.,"Ich*sch&auml;tze*dass,*das*Haus*trotz*die*nahe*Deponie*verkauft*ist.",b,Filler45_socstat_related_2.jpg,Filler48_socstat_related_1.jpg,Filler48_socstat_unrelated_2.jpg,Filler48_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Eduard versprach seiner Liebsten.
25,7,7,critical,WP1,3,low,low,match,yes,Quietschfidel*gelaunt*twittert*Dennis:,Ich*fahre*jetzt*mein*Stahlross*durch*den*Kiez.,c,Gruenzeug-1.jpg,Stahlross-1.jpg,Fahrrad-1.jpg,Gemuese-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Quietschfidel gelaunt twittert Dennis:
26,41,1,filler,SocStat,1,high,high,match,yes,Tante*Inga*schuftet*schwer*in*der*Imbissbude.,"Ich*merke*dass,*die*Gegend*wegen*des*bunten*Festes*abgesperrt*ist.",a,Filler1_socstat_related_2.jpg,Filler1_socstat_unrelated_2.jpg,Filler1_socstat_related_1.jpg,Filler1_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Tante Inga schuftet schwer in der Imbissbude.
27,5,5,critical,WP1,4,low,high,mismatch,yes,Stark*unter*Dampf*tr&ouml;tet*Moritz:,Ich*renoviere*sp&auml;ter*meine*Gem&auml;cher*in*dem*Plattenbau.,d,Kammern-1.jpg,Ohren-1.jpg,Lauscher-1.jpg,Gemaecher-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Stark unter Dampf tr&ouml;tet Moritz:
28,77,49,filler,SocStat,2,high,high,match,no,Erika*munkelte*&uuml;ber*Ihre*Hoffnung.,"Ich*hoffe*dass,*das*Wetter*trotz*die*kalte*Prognose*angenehm*ist.",b,Filler49_socstat_related_2.jpg,Filler49_socstat_unrelated_2.jpg,Filler49_socstat_unrelated_1.jpg,Filler49_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Erika munkelte &uuml;ber Ihre Hoffnung.
29,91,11,filler,WP2,9,low,low,match,yes,Die*Kumpels*br&uuml;llten*in*der*Kneipe:,Der*B&auml;cker*musterte*den*H&auml;ndler.,i,Filler11_WP2_unrelated_2.jpg,Filler11_WP2_unrelated_1.jpg,Filler11_WP2_related_2.jpg,Filler11_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Kumpels br&uuml;llten in der Kneipe:
30,15,15,critical,WP1,6,low,high,mismatch,no,Helle*gestrickt*t&ouml;nt*Robert:,Ich*spare*jetzt*mein*Essen*auf*dem*Konto.,f,Futter-1.jpg,Moos-1.jpg,Geld-1.jpg,Essen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Helle gestrickt t&ouml;nt Robert:
